City Name,State Abbreviation,State Name,City State
Charleston,WV,West Virginia,"Charleston, WV"
Huntington,WV,West Virginia,"Huntington, WV"
Parkersburg,WV,West Virginia,"Parkersburg, WV"
Morgantown,WV,West Virginia,"Morgantown, WV"
Wheeling,WV,West Virginia,"Wheeling, WV"
Fairmont,WV,West Virginia,"Fairmont, WV"
Martinsburg,WV,West Virginia,"Martinsburg, WV"
Beckley,WV,West Virginia,"Beckley, WV"
Clarksburg,WV,West Virginia,"Clarksburg, WV"
South Charleston,WV,West Virginia,"South Charleston, WV"
